N_unmapped	1743256	1743256	1743256
N_multimapping	6080687	6080687	6080687
N_noFeature	5946580	24467620	24783671
N_ambiguous	1054855	243840	237964
ENSDARG00000104632	75	45	32
ENSDARG00000100660	107	53	57
ENSDARG00000098417	32	15	17
ENSDARG00000100422	7348	3654	3716
ENSDARG00000102128	799	388	411
ENSDARG00000103095	1266	627	644
ENSDARG00000102226	190	110	87
ENSDARG00000104049	684	332	356
ENSDARG00000102474	1267	598	674
ENSDARG00000100143	2918	1477	1494
ENSDARG00000101771	1	0	2
ENSDARG00000104839	1055	545	527
ENSDARG00000104373	654	359	307
ENSDARG00000098311	527	255	287
ENSDARG00000102121	97	54	47
ENSDARG00000102123	1997	1003	1023
ENSDARG00000102141	616	300	327
ENSDARG00000105725	4	1	3
ENSDARG00000099787	59	38	25
ENSDARG00000070546	37	24	15
ENSDARG00000045914	7525	3926	3611
ENSDARG00000045913	687	347	343
ENSDARG00000045911	2224	1088	1141
ENSDARG00000102361	0	0	0
ENSDARG00000045910	1020	543	484
ENSDARG00000045909	257	118	145
ENSDARG00000025073	43263	21724	21570
ENSDARG00000084828	10	6	4
ENSDARG00000084784	13	7	6
ENSDARG00000095951	5	3	2
ENSDARG00000093924	5	5	1
ENSDARG00000084451	1	0	1
ENSDARG00000031737	27	15	13
ENSDARG00000099652	2974	1525	1455
ENSDARG00000101047	654	531	506
ENSDARG00000102104	0	185	196
ENSDARG00000099833	439	216	226
ENSDARG00000103870	49	24	26
ENSDARG00000096118	685	386	325
ENSDARG00000045900	783	394	412
ENSDARG00000016968	2761	1386	1379
ENSDARG00000102878	372	180	193
ENSDARG00000059311	661	334	329
ENSDARG00000017386	767	401	368
ENSDARG00000045898	671	313	359
ENSDARG00000006060	2207	1144	1065
ENSDARG00000103050	2	0	2
ENSDARG00000104018	4300	2084	2220
ENSDARG00000070535	3	2	2
ENSDARG00000013789	209	96	113
ENSDARG00000063686	363	171	192
ENSDARG00000087962	1169	597	575
ENSDARG00000099313	1610	837	774
ENSDARG00000103102	45	21	24
ENSDARG00000102157	2	1	1
ENSDARG00000098612	23	16	10
ENSDARG00000100898	0	0	0
ENSDARG00000102340	322	151	171
ENSDARG00000099129	192	92	101
ENSDARG00000101813	24005	12020	12004
ENSDARG00000098551	159	71	93
ENSDARG00000025601	4	4	1
ENSDARG00000063672	559	276	285
ENSDARG00000018149	3611	1753	1867
ENSDARG00000095920	0	0	1
ENSDARG00000045886	2854	1417	1450
ENSDARG00000045885	3758	1968	1794
ENSDARG00000007413	5046	2495	2554
ENSDARG00000097341	20	12	8
ENSDARG00000045880	451	235	216
ENSDARG00000009657	893	434	461
ENSDARG00000093658	1348	684	676
ENSDARG00000026839	534	276	269
ENSDARG00000016979	863	490	484
ENSDARG00000070477	836	472	472
ENSDARG00000045878	1141	616	525
ENSDARG00000045877	2279	1174	1106
ENSDARG00000079391	444	201	244
ENSDARG00000015921	976	513	464
ENSDARG00000099520	4	1	3
ENSDARG00000061544	268	136	132
ENSDARG00000020812	7	4	3
ENSDARG00000094007	0	0	0
ENSDARG00000093685	0	0	0
ENSDARG00000059196	1	1	0
ENSDARG00000009262	209	107	102
ENSDARG00000018618	6660	3276	3390
ENSDARG00000045874	837	602	565
ENSDARG00000057468	17	163	184
ENSDARG00000045873	325	161	165
ENSDARG00000079143	128	66	62
ENSDARG00000057714	596	297	302
ENSDARG00000045224	40	22	18
ENSDARG00000011246	613	327	286
ENSDARG00000053709	24	16	8
ENSDARG00000039724	63	28	35
ENSDARG00000070441	573	285	291
ENSDARG00000011961	612	314	299
ENSDARG00000008986	1270	607	664
ENSDARG00000008235	502	240	262
ENSDARG00000004592	161	88	73
ENSDARG00000006567	96	55	41
ENSDARG00000016231	327	171	157
ENSDARG00000016749	179	103	77
ENSDARG00000004227	577	264	314
ENSDARG00000006038	1492	769	723
ENSDARG00000045870	1790	902	888
ENSDARG00000060248	35	20	15
ENSDARG00000017757	268	149	119
ENSDARG00000030598	741	376	365
ENSDARG00000077356	62	58	51
ENSDARG00000097907	0	25	22
ENSDARG00000089860	165	93	108
ENSDARG00000097073	0	36	25
ENSDARG00000039843	321	153	193
ENSDARG00000077654	106	49	57
ENSDARG00000080242	0	0	0
ENSDARG00000070414	2	1	1
ENSDARG00000067495	0	0	0
ENSDARG00000045867	1	1	0
ENSDARG00000095979	4	2	2
ENSDARG00000094531	0	0	0
ENSDARG00000033296	242	108	134
ENSDARG00000104357	19	11	8
ENSDARG00000006283	1856	981	875
ENSDARG00000045864	101	56	45
ENSDARG00000045863	7	5	2
ENSDARG00000093470	0	0	0
ENSDARG00000105162	38	17	21
ENSDARG00000016691	3036	1512	1525
ENSDARG00000101363	48	30	19
ENSDARG00000095042	1	0	1
ENSDARG00000100963	61	34	27
ENSDARG00000059043	63	33	30
ENSDARG00000075281	310	146	164
ENSDARG00000023766	633	375	376
ENSDARG00000097286	0	59	58
ENSDARG00000039356	517	253	264
ENSDARG00000059064	1220	642	600
ENSDARG00000099725	0	10	11
ENSDARG00000090401	64	31	33
ENSDARG00000063578	455	239	216
ENSDARG00000063563	2056	1051	1007
ENSDARG00000039350	484	269	215
ENSDARG00000073963	40	19	24
ENSDARG00000069607	16	4	12
ENSDARG00000059053	2251	1131	1132
ENSDARG00000092677	66	149	165
ENSDARG00000020871	2212	1245	1209
ENSDARG00000039346	1266	639	627
ENSDARG00000101565	14	10	4
ENSDARG00000097044	70	42	37
ENSDARG00000059003	500	249	260
ENSDARG00000039343	1912	944	969
ENSDARG00000039340	1454	738	718
